state,ac_m,ac_f,ac_total,sc_m,sc_f,sc_total,st_m,st_f,st_total,obc_m,obc_f,obc_total,pwd_m,pwd_f,pwd_total,muslim_m,muslim_f,muslim_total,omc_m,omc_f,omc_total,ptr_total,ptr_regular,population_m,population_f,population_total
Andaman & Nicobar Islands,5641,6046,11687,62,24,86,126,176,302,968,915,1883,25,37,62,330,413,743,78,123,201,39,17,23610,22340,45950
Andhra Pradesh,951233,738245,1689478,141409,115197,256606,35126,28248,63374,391821,278708,670529,1352,605,1957,26099,20189,46288,2142,3429,5571,17,14,2823954,2831445,5655372
Arunachal Pradesh,21845,20553,42398,316,213,529,17886,17934,35820,706,490,1196,28,4,32,69,18,87,980,846,1826,52,39,81629,81458,163087
Assam,315411,304552,619963,20900,19488,40388,34676,34888,69564,60570,64594,125164,352,186,538,34613,29307,63920,1941,2249,4190,31,22,1797918,1882557,3680475
Bihar,821332,597369,1418701,84257,52896,137153,9115,7192,16307,342679,243742,586421,1541,489,2030,73741,52572,126313,636,647,1283,52,48,5802082,5202378,11004460
Chandigarh,50935,41686,92621,5378,4033,9411,1038,621,1659,2085,1389,3474,166,75,241,145,78,223,2623,1328,3951,30,21,96810,69851,166661
Chhatisgarh,232068,210202,442270,30734,24801,55535,40166,37850,78016,91977,78026,170003,309,146,455,1812,2308,4120,1433,2642,4075,24,20,1529263,1533618,3062881
Dadra & Nagar Haveli,2697,2036,4733,93,99,192,770,546,1316,247,254,501,8,8,16,16,22,38,7,8,15,27,26,36104,21973,58077
Daman & Diu,1562,1185,2747,82,91,173,187,133,320,317,295,612,0,1,1,43,32,75,31,24,55,16,16,39236,13068,52304
Delhi,505200,450667,955867,58517,51815,110332,8443,6752,15195,67736,43993,111729,2300,1248,3548,11719,6010,17729,2261,3358,5619,51,19,1209283,998239,2207522
Goa,23165,23230,46395,529,439,968,1324,1730,3054,3400,3856,7256,32,17,49,863,798,1661,2869,4141,7010,18,15,91974,75782,167756
Gujarat,850704,591520,1442224,70598,52475,123073,64477,61093,125570,244621,154409,399030,1342,766,2108,18136,10848,28984,3654,2677,6331,27,26,3784353,3384126,7168479
Haryana,499938,389117,889055,72533,50852,123385,1684,664,2348,121284,96818,218102,438,141,579,8136,1490,9626,7135,7065,14200,18,18,1730282,1455211,3185493
Himachal Pradesh,110101,118816,228917,18139,18796,36935,5927,6000,11927,11958,13936,25894,204,89,293,471,203,674,219,864,1083,22,19,388124,365603,753727
Jammu and Kashmir,172416,181846,354262,8272,9854,18126,8653,6915,15568,13264,9600,22864,447,263,710,70493,64144,134637,3258,3918,7176,33,24,703848,658702,1362550
Jharkhand,262800,235528,498328,23610,18297,41907,39830,45623,85453,84542,77547,162089,286,162,448,14428,13775,28203,3294,4634,7928,60,55,1887924,1824176,3712100
Karnataka,977727,901582,1879309,126152,110551,236703,44428,37080,81508,416715,417151,833866,2177,1347,3524,49036,42305,91341,22752,29611,52363,14,13,3689733,3502112,7191845
Kerala,331613,500460,832073,19764,35353,55117,2997,4137,7134,125543,183293,308836,1209,977,2186,38038,49891,87929,34464,53292,87756,17,14,1538075,1542628,3080703
Lakshadweep,70,203,273,0,0,0,70,203,273,0,0,0,0,0,,66,165,231,0,0,0,9,9,3650,3365,7015
Madhya Pradesh,994780,713994,1708774,124366,79595,203961,75040,55066,130106,338645,244440,583085,1375,744,2119,17858,14253,32111,5798,6786,12584,26,23,4627031,4101175,8728206
Maharashtra,2098673,1595434,3694107,228971,175870,404841,94565,54857,149422,565173,432957,998130,3910,3293,7203,52501,46562,99063,29460,29776,59236,23,20,7067928,6307162,13375090
Manipur,56034,56681,112715,3501,2912,6413,19409,19733,39142,17251,18854,36105,90,69,159,2322,1907,4229,6455,7785,14240,22,21,143881,148728,292609
Meghalaya,35206,37650,72856,573,395,968,18973,29722,48695,1015,582,1597,40,31,71,348,210,558,7674,10367,18041,19,17,170656,175901,346557
