state,muslim_pop_total,muslim_pop_m,muslim_pop_f
Jammu and Kashmir,773509,386794,386715
Himachal Pradesh,16350,9155,7195
Punjab,57305,31223,26082
Chandigarh,6730,4294,2436
Uttrakhand,147545,79366,68179
Haryana,162538,85959,76579
Delhi,246313,135499,110814
Rajasthan,624510,319456,305054
Uttar Pradesh,3539422,1895511,1643911
Bihar,1385472,733065,652407
Sikkim,1512,1084,428
Arunachal Pradesh,3194,1927,1267
Nagaland,5167,3003,2164
Manipur,23569,11181,12388
Mizoram,1984,1411,573
Tripura,34539,16975,17564
Meghalaya,12172,6059,6113
Assam,970793,469658,501135
West Bengal,2547721,1285371,1262350
Jharkhand,424097,216218,207879
Odisha,96916,48580,48336
Chhatisgarh,55048,27593,27455
Madhya Pradesh,487607,252406,235201
Gujarat,590788,303589,287199
Daman & Diu,2743,1874,869
Dadra & Nagar Haveli,1948,1291,657
Maharashtra,1405507,755819,649688
Karnataka,850630,429962,420668
Goa,14080,7550,6530
Lakshadweep,5552,2812,2740
Kerala,857187,395540,461647
Tamil Nadu,412475,193856,218619
Puducherry,6966,3154,3812
Andaman & Nicobar Islands,3258,1746,1512
