state,ac_pop_m,ac_pop_f,ac_pop_total,sc_pop_m,sc_pop_f,sc_pop_total,st_pop_m,st_pop_f,st_pop_total
Andaman & Nicobar Islands,23610,22340,45950,0,0,0,1657,1627,3284
Arunachal Pradesh,81629,81458,163087,0,0,0,52635,58622,111257
Assam,1797918,1882557,3680475,140520,137346,277866,219599,242449,462048
Bihar,5802082,5202378,11004460,839272,814466,1653738,68734,66354,135088
Chandigarh,96810,69851,166661,17821,14445,32266,0,0,0
Chhatisgarh,1529263,1533618,3062881,205494,202911,408405,439376,468629,908005
Dadra & Nagar Haveli,36104,21973,58077,532,403,935,11567,12879,24446
Daman & Diu,39236,13068,52304,489,389,878,1185,1102,2287
Delhi,1209283,998239,2207522,221519,191633,413152,0,0,0
Goa,91974,75782,167756,1694,1584,3278,8306,7903,16209
Gujarat,3784353,3384126,7168479,267856,240902,508758,482716,477458,960174
Haryana,1730282,1455211,3185493,368248,306608,674856,0,0,0
Himachal Pradesh,388124,365603,753727,99999,96519,196518,21978,22076,44054
Jammu and Kashmir,703848,658702,1362550,56266,52311,108577,77161,73368,150529
Jharkhand,1887924,1824176,3712100,225440,215351,440791,457371,495211,952582
Karnataka,3689733,3502112,7191845,654055,637319,1291374,266032,255035,521067
Kerala,1538075,1542628,3080703,139423,139545,278968,23371,24878,48249
Lakshadweep,3650,3365,7015,0,0,0,3316,3301,6617
Madhya Pradesh,4627031,4101175,8728206,758530,643438,1401968,846869,855849,1702718
Maharashtra,7067928,6307162,13375090,861137,794054,1655191,616169,617050,1233219
Manipur,143881,148728,292609,4978,5061,10039,78130,77991,156121
Meghalaya,170656,175901,346557,1149,1024,2173,144467,153185,297652
Mizoram,65306,66091,131397,109,62,171,60736,63207,123943
Nagaland,126835,122332,249167,0,0,0,108238,108869,217107
Odisha,2327713,2343138,4670851,409607,413122,822729,483294,530465,1013759
Puducherry,73518,73119,146637,12814,12885,25699,0,0,0
Punjab,1791463,1499582,3291045,595299,508590,1103889,0,0,0
Rajasthan,4500927,4094889,8595816,839043,738687,1577730,557553,541439,1098992
Sikkim,40910,38250,79160,1852,1971,3823,12998,13207,26205
Tamil Nadu,3709632,3705710,7415342,803953,822979,1626932,41203,43347,84550
Tripura,216248,225127,441375,42035,41747,83782,67547,76249,143796
Uttar Pradesh,12981220,11327173,24308393,2647332,2236838,4884170,62771,61397,124168
Uttrakhand,628193,597961,1226154,118960,112925,231885,19324,19528,38852
West Bengal,5436999,5488359,10925358,1343557,1329592,2673149,318449,342313,660762
